ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,LOCALITY,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
569520,65+,female,majority,0-9y,high school,upper class,0.629027313918201,yes,after 2015,no,yes,New York,12000.0,sedan,0,0,0,approved
750365,16-25,male,majority,0-9y,none,poverty,0.3577571170184627,no,before 2015,no,no,New York,16000.0,sedan,0,0,0,denied
199901,16-25,female,majority,0-9y,high school,working class,0.4931457852181982,yes,before 2015,no,no,New York,11000.0,sedan,0,0,0,approved
478866,16-25,male,majority,0-9y,university,working class,0.2060128507324556,yes,before 2015,no,yes,Miami,11000.0,sedan,0,0,0,approved
731664,26-39,male,majority,10-19y,none,working class,0.3883658881572184,yes,before 2015,no,no,Miami,12000.0,sedan,2,0,1,denied
877557,40-64,female,majority,20-29y,high school,upper class,0.6191273725847388,yes,after 2015,no,yes,New York,13000.0,sedan,3,0,3,approved
930134,65+,male,majority,30y+,high school,upper class,0.4929435502195342,no,after 2015,yes,yes,New York,13000.0,sedan,7,0,3,approved
461006,26-39,female,majority,0-9y,university,working class,0.468689297434465,no,after 2015,no,yes,New York,14000.0,sedan,0,0,0,denied
68366,40-64,female,majority,20-29y,university,working class,0.5218149362971065,no,before 2015,yes,no,New York,13000.0,sedan,0,0,0,approved
445911,40-64,female,majority,0-9y,high school,upper class,0.5615310319383646,yes,before 2015,no,yes,Miami,11000.0,sedan,0,0,0,denied
275820,65+,male,majority,30y+,high school,upper class,0.6203612640126029,yes,after 2015,yes,yes,New York,10000.0,sedan,6,2,7,approved
521399,65+,female,majority,30y+,high school,upper class,0.7298308815593941,yes,after 2015,yes,no,Miami,12000.0,sedan,4,0,0,approved
429728,40-64,male,majority,20-29y,high school,upper class,0.6370447435902447,yes,before 2015,yes,yes,New York,8000.0,sedan,4,1,2,approved
569640,16-25,female,majority,0-9y,university,upper class,0.59125997174597,yes,before 2015,no,yes,New York,11697.003206900365,sedan,0,0,0,approved
980181,26-39,male,majority,10-19y,high school,middle class,0.4615679630439447,yes,before 2015,yes,yes,New York,12000.0,sedan,0,2,1,approved
906223,26-39,female,majority,0-9y,high school,upper class,0.7627979410816134,no,after 2015,yes,no,New York,11697.003206900365,sedan,0,0,0,approved
517747,65+,male,majority,30y+,university,upper class,0.7961748462456987,yes,before 2015,yes,yes,Miami,11697.003206900365,sedan,10,2,1,approved
24851,16-25,male,majority,0-9y,none,poverty,0.5158128096027941,no,before 2015,yes,no,Miami,12000.0,sedan,0,0,0,denied
104086,26-39,female,majority,0-9y,university,upper class,0.6805942795073384,yes,before 2015,no,yes,Miami,11697.003206900365,sedan,0,0,0,denied
240658,16-25,female,majority,0-9y,high school,working class,0.4177139816231188,yes,before 2015,no,yes,New York,18000.0,sedan,0,0,0,denied
484399,16-25,female,majority,0-9y,high school,working class,0.4095135306516067,no,before 2015,no,no,New York,17000.0,sedan,0,0,0,denied
912828,16-25,male,majority,0-9y,high school,middle class,0.5532600531952381,yes,after 2015,yes,yes,Miami,8000.0,sedan,0,0,0,denied
892754,40-64,male,majority,20-29y,none,poverty,0.3309502618581893,yes,before 2015,yes,yes,New York,13000.0,sedan,3,1,1,approved
217,16-25,male,majority,0-9y,none,poverty,0.5158128096027941,no,before 2015,no,no,New York,17000.0,sedan,0,0,0,approved
633896,65+,male,majority,30y+,high school,upper class,0.5006306604427161,yes,before 2015,yes,yes,Miami,7000.0,sedan,13,2,3,approved
193110,26-39,female,majority,10-19y,university,middle class,0.5519701813636283,yes,before 2015,yes,no,New York,14000.0,sports car,0,0,0,approved
98515,40-64,male,majority,10-19y,high school,middle class,0.6269960497386653,yes,before 2015,no,no,New York,13000.0,sedan,1,1,0,approved
165623,26-39,male,majority,10-19y,none,poverty,0.2947974807719967,yes,before 2015,yes,no,New York,15000.0,sedan,0,0,1,approved
493590,26-39,male,majority,10-19y,university,middle class,0.5519504952618395,no,after 2015,no,no,New York,17000.0,sedan,0,0,1,approved
389792,65+,male,majority,0-9y,university,upper class,0.649820471216227,yes,after 2015,yes,yes,Miami,9000.0,sedan,0,0,0,denied
642614,40-64,male,majority,20-29y,high school,middle class,0.5218044346397632,yes,after 2015,yes,yes,San Francisco,7000.0,sedan,2,0,1,approved
951465,65+,female,majority,30y+,university,upper class,0.7012683240604196,yes,before 2015,yes,yes,New York,10000.0,sedan,3,1,1,approved
496987,16-25,male,majority,0-9y,none,poverty,0.1712440288213211,yes,before 2015,yes,yes,New York,9000.0,sedan,0,0,0,approved
732437,16-25,male,majority,0-9y,none,poverty,0.3184419972124171,yes,before 2015,no,yes,Miami,10000.0,sedan,0,0,0,denied
146897,26-39,female,majority,0-9y,high school,middle class,0.6046842696715551,yes,before 2015,yes,yes,Baltimore,11000.0,sedan,0,0,0,denied
316173,16-25,male,majority,0-9y,university,working class,0.5049948526440377,no,after 2015,no,no,Miami,8000.0,sedan,0,0,0,denied
9013,26-39,male,majority,10-19y,high school,working class,0.6251466352816216,yes,before 2015,no,yes,New York,17000.0,sedan,3,0,2,approved
511757,40-64,female,majority,10-19y,none,middle class,0.5158128096027941,yes,before 2015,yes,yes,New York,11000.0,sedan,2,0,1,approved
429947,65+,male,majority,30y+,university,upper class,0.5158128096027941,no,after 2015,no,yes,New York,12000.0,sports car,6,0,5,approved
485660,40-64,male,majority,10-19y,university,upper class,0.5781305873212035,yes,before 2015,no,yes,San Francisco,14000.0,sedan,1,0,1,approved
